Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
568317,3,516389,11491957,112,,,,,,
504776,3,516389,24314543,622,,,,,,
522415,3,516389,29476855,511,,,,,,
640254,3,516389,9369376,27,,,,,,
512898,3,516389,25341763,486,,,,,,
457058,3,516389,25335385,346,,,,,,
481307,3,516389,16788968,34,,,,,,
506422,3,516389,20252446,15,,,,,,
535740,3,516389,6176935,840,,,,,,
483809,3,516389,21610832,706,,,,,,
539801,3,516389,4498032,809,,,,,,
564736,3,516389,29729573,6,,,,,,
621823,3,516389,23266820,30,,,,,,
624414,3,516389,3716763,1203,,,,,,
590607,3,516389,29729280,292,,,,,,
530183,3,516389,13142402,416,,,,,,
643151,3,516389,11864168,494,,,,,,
530027,3,516389,20139844,1426,,,,,,
510351,3,516389,22392471,545,,,,,,
633377,3,516389,823510,593,,,,,,
638663,3,516389,29931123,579,,,,,,
552765,3,516389,20162007,8,,,,,,
473764,3,516389,3900931,213,,,,,,
603372,3,516389,200541,10,,,,,,
506653,3,516389,25776080,38,,,,,,
487544,3,516389,22056020,783,,,,,,
480936,3,516389,22609588,1298,,,,,,
534086,3,516389,9793482,871,,,,,,
620375,3,516389,13742325,893,,,,,,
512510,3,516389,19715214,961,,,,,,
500337,3,516389,19123595,1780,,,,,,
575432,3,516389,28001423,323,,,,,,
477936,3,516389,24629284,65,,,,,,
603408,3,516389,9516355,817,,,,,,
550248,3,516389,16102348,525,,,,,,
467869,3,516389,1581741,2,,,,,,
511487,3,516389,22819540,486,,,,,,
588694,3,516389,11960963,75,,,,,,
576640,3,516389,14039739,490,,,,,,
629499,3,516389,13516203,543,,,,,,
621816,3,516389,4235640,1708,,,,,,
638659,3,516389,19245534,450,,,,,,
594742,3,516389,23262507,958,,,,,,
466237,3,516389,12911919,527,,,,,,
482378,3,516389,14354198,629,,,,,,
457484,3,516389,10337819,1225,,,,,,
462721,3,516389,6411969,18,,,,,,
576504,3,516389,22639500,431,,,,,,
657222,3,516389,28359367,907,,,,,,
555145,3,516389,18943484,4,,,,,,
516041,3,516389,4239752,681,,,,,,
621729,3,516389,29120088,17,,,,,,
562338,3,516389,13220099,388,,,,,,
655724,3,516389,8553656,15,,,,,,
482378,3,516389,29900754,455,,,,,,
631523,3,516389,17455226,442,,,,,,
476918,3,516389,16090243,1111,,,,,,
487236,3,516389,7442330,1719,,,,,,
561428,3,516389,8729723,269,,,,,,
531635,3,516389,24032911,42,,,,,,
620791,3,657187,1991785,633,,,,,,
567987,3,657187,1929992,1203,,,,,,
592099,3,657187,12279748,704,,,,,,
