Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
600971,4,579269,-685755382,0.166667,,,,,,
509373,1,600971,15163602,1,2,0,-21.3796,88.6052,37.5294,-41.5884
478853,0,600971,16520421,1,,,,,,
531430,0,600971,27765727,1,,,,,,
588245,1,600971,432045,1,0,0,30.4542,-41.3817,37.5294,-41.5884
464825,1,600971,29728822,1,1,0,-30.4652,-14.5342,37.5294,-41.5884
561931,0,600971,28399738,1,,,,,,
581835,0,600971,31439805,1,,,,,,
484308,0,600971,15036046,1,,,,,,
560418,0,600971,3462138,1,,,,,,
570443,1,600971,15737445,1,1,0,-30.1843,-11.0811,37.5294,-41.5884
552243,1,600971,9805008,1,1,0,-27.3206,-13.8613,37.5294,-41.5884
595737,0,600971,29053916,1,,,,,,
626538,0,600971,6568375,1,,,,,,
635565,0,600971,18240766,1,,,,,,
620024,1,600971,12744525,1,3,0,-25.6858,-111.313,37.5294,-41.5884
504753,1,600971,4065516,1,0,0,30.8083,-43.3497,37.5294,-41.5884
496375,0,600971,2857132,1,,,,,,
610768,1,600971,4329388,1,0,0,35.0743,-45.8677,37.5294,-41.5884
567716,1,600971,27746181,1,2,0,-23.4195,90.2747,37.5294,-41.5884
639419,1,600971,24668936,1,1,0,-28.6155,-8.64662,37.5294,-41.5884
640109,1,600971,19722351,1,1,0,-27.8764,-16.2079,37.5294,-41.5884
505409,1,600971,29483534,1,2,0,-24.0163,87.667,37.5294,-41.5884
524473,1,600971,22167365,1,2,0,-23.7228,90.299,37.5294,-41.5884
640697,1,600971,26450203,1,3,0,-26.2454,-110.63,37.5294,-41.5884
513148,0,600971,22513009,1,,,,,,
614964,1,600971,24547521,1,3,0,-24.3847,-111.339,37.5294,-41.5884
475873,1,600971,23887836,1,0,0,31.0844,-35.4814,37.5294,-41.5884
465820,0,600971,13910428,1,,,,,,
533887,0,600971,2077516,1,,,,,,
601028,0,600971,16089626,1,,,,,,
476094,0,600971,24806215,1,,,,,,
512867,1,600971,5371244,1,2,0,-24.8849,88.1641,37.5294,-41.5884
579468,1,600971,21611459,1,3,0,-24.8081,-111.058,37.5294,-41.5884
535286,0,600971,19034459,1,,,,,,
571682,0,600971,21443194,1,,,,,,
606011,0,600971,31137579,1,,,,,,
573678,1,600971,22206615,1,4,0,-2.32133,-164.458,37.5294,-41.5884
468160,0,600971,13070849,1,,,,,,
561819,0,600971,25765565,1,,,,,,
619277,1,600971,29207569,1,1,0,-28.6004,-15.7954,37.5294,-41.5884
462418,0,600971,15332810,1,,,,,,
460690,1,600971,14603210,1,5,0,25.3293,157.064,37.5294,-41.5884
507507,0,600971,22673568,1,,,,,,
576640,1,600971,27998910,1,2,0,-20.5806,92.5726,37.5294,-41.5884
529612,1,600971,30376619,1,1,0,-27.1007,-7.97667,37.5294,-41.5884
504817,1,600971,13049088,1,0,0,23.3388,-46.1471,37.5294,-41.5884
586532,0,600971,11513098,1,,,,,,
501121,0,600971,17484781,1,,,,,,
564804,1,600971,22053433,1,1,0,-30.8487,-12.8853,37.5294,-41.5884
572297,1,600971,23469535,1,0,0,39.598,-33.8601,37.5294,-41.5884
514428,0,600971,24830409,1,,,,,,
468800,0,600971,15034963,1,,,,,,
603113,1,600971,12273015,1,4,0,-5.9826,-161.811,37.5294,-41.5884
635914,0,600971,11864547,1,,,,,,
509879,0,600971,17844637,1,,,,,,
505835,0,600971,22646553,1,,,,,,
636737,0,600971,990475,1,,,,,,
468496,1,600971,22221332,1,1,0,-29.9768,-11.0864,37.5294,-41.5884
465118,0,600971,9691655,1,,,,,,
647626,0,600971,18950039,1,,,,,,
523187,0,600971,28791364,1,,,,,,
465035,0,600971,20770212,1,,,,,,
464514,1,600971,23378793,1,0,0,32.7123,-41.0273,37.5294,-41.5884
642021,0,600971,26203812,1,,,,,,
547642,0,600971,20329488,1,,,,,,
504104,1,600971,520581,1,4,0,0.209291,-163.453,37.5294,-41.5884
489025,0,600971,28528017,1,,,,,,
655531,0,600971,2596561,1,,,,,,
547849,1,600971,11076496,1,1,0,-29.0316,-14.9879,37.5294,-41.5884
578158,0,600971,8391058,1,,,,,,
465700,0,600971,24461436,1,,,,,,
648166,0,600971,13324379,1,,,,,,
580557,0,600971,27063412,1,,,,,,
540907,1,600971,17255217,1,5,0,23.9793,153.142,37.5294,-41.5884
611892,0,600971,1350034,1,,,,,,
575096,1,600971,31371878,1,0,0,30.6199,-38.9888,37.5294,-41.5884
588113,1,600971,8475912,1,4,0,-5.30283,-167.677,37.5294,-41.5884
