Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
557387,0,574136,29934736,1,,,,,,
574136,0,539941,29934736,1,,,,,,
635193,1,574136,9210880,1,3,4,-24.331,-110.742,-1.6001,-161.631
574136,3,617468,9210880,2,,,,,,
621729,1,574136,17573550,1,4,4,1.75405,-165.447,-1.6001,-161.631
630745,0,574136,30248414,1,,,,,,
574136,0,491705,30248414,1,,,,,,
639882,0,574136,812170,1,,,,,,
574136,3,492039,812170,1,,,,,,
574136,1,509037,812170,1,4,4,-1.6001,-161.631,1.28672,-171.963
574136,2,593195,812170,2358,,,,,,
569091,0,574136,4514441,1,,,,,,
574136,0,586275,4514441,1,,,,,,
574136,2,593195,4514441,971,,,,,,
527660,1,574136,29578338,1,4,4,-2.6912,-169.463,-1.6001,-161.631
574136,0,571414,29578338,1,,,,,,
553602,1,574136,18318465,1,2,4,-24.7474,91.7738,-1.6001,-161.631
574136,1,546631,18318465,1,4,0,-1.6001,-161.631,37.2032,-32.8121
574136,2,593195,18318465,671,,,,,,
493968,1,574136,20673643,1,0,4,29.9616,-43.0662,-1.6001,-161.631
585500,0,574136,18215874,1,,,,,,
574136,0,578302,18215874,1,,,,,,
466507,0,574136,13870972,1,,,,,,
574136,1,543729,13870972,1,4,4,-1.6001,-161.631,-6.11363,-160.095
582549,1,574136,19101990,1,1,4,-26.7696,-15.83,-1.6001,-161.631
459521,1,574136,27313843,1,0,4,34.3982,-38.4796,-1.6001,-161.631
574136,3,645667,27313843,488,,,,,,
574136,1,512138,27313843,1,4,2,-1.6001,-161.631,-18.8425,95.5804
608186,0,574136,1233022,1,,,,,,
574136,1,521492,1233022,1,4,2,-1.6001,-161.631,-21.3966,93.1195
485076,0,574136,10805639,1,,,,,,
574136,3,469675,10805639,4,,,,,,
574136,1,601944,10805639,1,4,5,-1.6001,-161.631,25.1109,155.137
558025,1,574136,30190170,1,4,4,-0.655305,-164.76,-1.6001,-161.631
481849,1,574136,30190170,1,3,4,-24.3168,-111.105,-1.6001,-161.631
516098,1,574136,2511021,1,2,4,-22.3231,90.2102,-1.6001,-161.631
574136,1,576568,2511021,1,4,0,-1.6001,-161.631,26.537,-34.3168
581835,1,574136,785534,1,1,4,-25.388,-15.1947,-1.6001,-161.631
574136,3,483999,785534,98,,,,,,
466503,1,574136,24862946,1,1,4,-31.482,-13.4064,-1.6001,-161.631
574136,1,614091,24862946,1,4,1,-1.6001,-161.631,-27.6404,-15.7211
574136,2,593195,24862946,1167,,,,,,
548767,0,574136,14695842,1,,,,,,
574136,0,489270,14695842,1,,,,,,
574136,2,593195,14695842,294,,,,,,
491943,1,574136,5012296,1,0,4,29.1769,-39.332,-1.6001,-161.631
574136,1,626212,5012296,1,4,3,-1.6001,-161.631,-24.4578,-110.325
574136,2,593195,5012296,307,,,,,,
492885,0,574136,10886400,1,,,,,,
574136,1,493221,10886400,1,4,0,-1.6001,-161.631,33.1649,-38.4582
504776,1,574136,7259295,1,3,4,-24.1382,-111.462,-1.6001,-161.631
574136,3,531490,7259295,1,,,,,,
575280,0,574136,15571214,1,,,,,,
574136,0,599435,15571214,1,,,,,,
574136,1,516536,7279022,1,4,1,-1.6001,-161.631,-32.9714,-16.8316
546631,0,574136,13076651,1,,,,,,
574136,1,522415,13076651,1,4,0,-1.6001,-161.631,30.5965,-39.2768
587996,0,574136,30093615,1,,,,,,
574136,0,648128,30093615,1,,,,,,
574136,1,607488,19360132,1,4,4,-1.6001,-161.631,9.49503,-158.387
574136,2,593195,19360132,1018,,,,,,
542757,0,574136,8737259,1,,,,,,
574136,1,510624,8737259,1,4,4,-1.6001,-161.631,3.70611,-165.851
490544,1,574136,19117974,1,0,4,31.6573,-39.5923,-1.6001,-161.631
629384,0,574136,29744411,1,,,,,,
574136,1,475662,29744411,1,4,2,-1.6001,-161.631,-22.6451,90.7897
611840,0,574136,20692525,1,,,,,,
574136,3,548607,20692525,41,,,,,,
574136,0,524570,20692525,1,,,,,,
549882,0,574136,12398093,1,,,,,,
574136,0,608775,12398093,1,,,,,,
652735,1,574136,30291706,1,3,4,-24.9628,-111.023,-1.6001,-161.631
574136,3,583695,30291706,13,,,,,,
579305,1,574136,9808604,1,0,4,39.8886,-41.778,-1.6001,-161.631
574136,1,489194,9808604,1,4,0,-1.6001,-161.631,35.8631,-43.6794
616775,1,574136,24897013,1,2,4,-21.6124,87.4416,-1.6001,-161.631
468355,1,574136,1664165,1,5,4,22.9821,155.745,-1.6001,-161.631
584453,0,574136,8295499,1,,,,,,
574136,0,537455,8295499,1,,,,,,
622720,1,574136,1773646,1,0,4,28.303,-40.54,-1.6001,-161.631
657007,0,574136,7520632,1,,,,,,
574136,1,560548,7520632,1,4,2,-1.6001,-161.631,-22.7782,89.8169
574136,2,593195,7520632,317,,,,,,
469993,0,574136,12882423,1,,,,,,
574136,0,587622,12882423,1,,,,,,
508308,1,574136,16692022,1,0,4,31.3369,-43.255,-1.6001,-161.631
574136,3,475970,16692022,367,,,,,,
572345,0,574136,12216731,1,,,,,,
574136,0,600532,12216731,1,,,,,,
574136,2,593195,12216731,403,,,,,,
615860,0,574136,2806002,1,,,,,,
574136,3,641131,2806002,207,,,,,,
574136,1,501687,2806002,1,4,4,-1.6001,-161.631,-1.34936,-161.231
648343,1,574136,12474039,1,0,4,30.0996,-41.3104,-1.6001,-161.631
574136,1,490101,12474039,1,4,4,-1.6001,-161.631,12.0441,-163.73
508047,1,574136,29421647,1,2,4,-19.2379,89.7374,-1.6001,-161.631
506742,1,574136,29912819,1,3,4,-24.368,-110.974,-1.6001,-161.631
574136,0,508047,29912819,1,,,,,,
531290,0,574136,14692692,1,,,,,,
574136,0,505841,14692692,1,,,,,,
518063,1,574136,9945315,1,4,4,-1.46913,-163.657,-1.6001,-161.631
574136,0,613431,9945315,1,,,,,,
574136,2,593195,9945315,199,,,,,,
654316,0,574136,3543497,1,,,,,,
574136,3,551425,3543497,590,,,,,,
574136,0,527533,3543497,1,,,,,,
506620,0,574136,3807611,1,,,,,,
535703,1,574136,10899616,1,1,4,-27.7577,-13.1854,-1.6001,-161.631
574136,3,536851,10899616,146,,,,,,
574136,1,465528,10899616,1,4,1,-1.6001,-161.631,-32.4756,-14.9324
518684,1,574136,21604146,1,4,4,-3.01742,-165.639,-1.6001,-161.631
