Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
538771,4,462146,-323424000,0.0625,,,,,,
538771,4,652563,-591868800,0.0909091,,,,,,
538771,4,653816,-242121600,0.0625,,,,,,
538771,4,521370,-400752000,0.0555556,,,,,,
538771,4,477902,-258710400,0.1,,,,,,
538771,4,589499,-512899200,0.0714286,,,,,,
538771,4,600158,-691574400,0.047619,,,,,,
538771,4,495860,-679478400,0.0833333,,,,,,
538771,4,530130,-733737600,0.0625,,,,,,
538771,4,520589,-610272000,0.0909091,,,,,,
538771,4,549279,-638265600,0.0625,,,,,,
538771,4,498205,-669801600,0.0625,,,,,,
538771,4,551513,-701769600,0.0666667,,,,,,
538771,4,619226,-449740800,0.047619,,,,,,
538771,4,457185,-418204800,0.05,,,,,,
538771,4,531391,-384076800,0.05,,,,,,
538771,4,468528,-481795200,0.0416667,,,,,,
538771,4,508586,-988963200,0.166667,,,,,,
538771,4,518313,-196848000,0.0833333,,,,,,
538771,4,468104,-560332800,0.0909091,,,,,,
538771,4,581631,-544003200,0.0526316,,,,,,
538771,4,630210,-544003200,0.0526316,,,,,,
538771,4,532186,-544003200,0.0625,,,,,,
538771,4,619717,-638265600,0.0625,,,,,,
538771,4,523620,-512899200,0.0526316,,,,,,
538771,4,467921,-347270400,0.0714286,,,,,,
538771,4,527009,-418204800,0.05,,,,,,
538771,4,582996,-575971200,0.0625,,,,,,
538771,4,525510,-638265600,0.0625,,,,,,
538771,4,565132,-638265600,0.0625,,,,,,
538771,4,596945,-765273600,0.0833333,,,,,,
538771,4,531519,-831110400,0.125,,,,,,
538771,4,574425,-765360000,0.111111,,,,,,
538771,4,626137,-788947200,0.037037,,,,,,
538771,4,488848,-228038400,0.05,,,,,,
538771,4,519936,-228038400,0.0909091,,,,,,
538771,4,614131,-228038400,0.125,,,,,,
538771,4,492492,-196848000,0.0833333,,,,,,
538771,4,609834,-610099200,0.0666667,,,,,,
538771,4,548600,-497260800,0.0769231,,,,,,
538771,4,636371,-610099200,0.0625,,,,,,
538771,4,626501,-418204800,0.05,,,,,,
538771,4,639332,-575971200,0.0625,,,,,,
538771,4,501439,-610099200,0.0769231,,,,,,
538771,4,580394,-686563200,0.125,,,,,,
538771,4,589232,-670665600,0.111111,,,,,,
538771,4,602969,-273657600,0.0833333,,,,,,
538771,4,592696,-465638400,0.142857,,,,,,
538771,4,526501,-669801600,0.0625,,,,,,
538771,4,641263,-733737600,0.0769231,,,,,,
538771,4,568239,-575971200,0.0625,,,,,,
538771,4,473333,-686563200,0.142857,,,,,,
538771,4,556294,-610099200,0.0666667,,,,,,
538771,4,473043,-623491200,0.0909091,,,,,,
538771,4,532197,-560332800,0.111111,,,,,,
538771,4,565737,-542707200,0.1,,,,,,
538771,4,540328,-323424000,0.111111,,,,,,
538771,4,476766,-670665600,0.166667,,,,,,
