Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
600971,4,579269,-685755382,0.166667,,,,,,
600971,4,463021,-508376182,0.25,,,,,,
600971,4,607498,-541121782,0.333333,,,,,,
600971,4,530665,-656897782,0.25,,,,,,
600971,4,579269,-685755382,0.166667,,,,,,
600971,4,463021,-508376182,0.25,,,,,,
561356,4,463021,-482659200,0.25,,,,,,
609913,4,463021,-482659200,0.25,,,,,,
611692,4,463021,-482659200,0.25,,,,,,
600971,4,607498,-541121782,0.333333,,,,,,
611692,4,607498,-515404800,0.333333,,,,,,
475588,4,607498,-515404800,0.333333,,,,,,
600971,4,530665,-656897782,0.25,,,,,,
540660,4,530665,-631180800,0.25,,,,,,
611692,4,530665,-631180800,0.25,,,,,,
609913,4,530665,-631180800,0.25,,,,,,
470085,4,579269,-660038400,0.166667,,,,,,
484189,4,579269,-660038400,0.166667,,,,,,
600971,4,579269,-685755382,0.166667,,,,,,
540660,4,579269,-660038400,0.166667,,,,,,
611692,4,579269,-660038400,0.166667,,,,,,
609913,4,579269,-660038400,0.166667,,,,,,
