Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
600971,4,463021,-508376182,0.25,,,,,,
600971,4,607498,-541121782,0.333333,,,,,,
600971,4,530665,-656897782,0.25,,,,,,
600971,4,579269,-685755382,0.166667,,,,,,
509373,1,600971,15163602,1,2,0,-21.3796,88.6052,37.5294,-41.5884
600971,1,544636,15163602,1,0,3,37.5294,-41.5884,-23.8755,-111.541
478853,0,600971,16520421,1,,,,,,
600971,1,498608,16520421,1,0,3,37.5294,-41.5884,-24.4928,-111.08
531430,0,600971,27765727,1,,,,,,
600971,1,495711,27765727,1,0,3,37.5294,-41.5884,-25.0321,-111.211
588245,1,600971,432045,1,0,0,30.4542,-41.3817,37.5294,-41.5884
464825,1,600971,29728822,1,1,0,-30.4652,-14.5342,37.5294,-41.5884
600971,1,507346,29728822,1,0,0,37.5294,-41.5884,24.4182,-39.0987
561931,0,600971,28399738,1,,,,,,
600971,1,458365,28399738,1,0,3,37.5294,-41.5884,-25.3404,-110.732
581835,0,600971,31439805,1,,,,,,
600971,0,596866,31439805,1,,,,,,
484308,0,600971,15036046,1,,,,,,
560418,0,600971,3462138,1,,,,,,
600971,1,532753,3462138,1,0,5,37.5294,-41.5884,20.1631,157.94
570443,1,600971,15737445,1,1,0,-30.1843,-11.0811,37.5294,-41.5884
552243,1,600971,9805008,1,1,0,-27.3206,-13.8613,37.5294,-41.5884
600971,0,505857,9805008,1,,,,,,
595737,0,600971,29053916,1,,,,,,
600971,1,617516,29053916,1,0,1,37.5294,-41.5884,-28.3052,-8.67496
626538,0,600971,6568375,1,,,,,,
600971,0,655639,6568375,1,,,,,,
635565,0,600971,18240766,1,,,,,,
600971,1,589033,18240766,1,0,1,37.5294,-41.5884,-28.2509,-13.7172
620024,1,600971,12744525,1,3,0,-25.6858,-111.313,37.5294,-41.5884
600971,1,610477,12744525,1,0,1,37.5294,-41.5884,-29.6503,-10.6554
504753,1,600971,4065516,1,0,0,30.8083,-43.3497,37.5294,-41.5884
496375,0,600971,2857132,1,,,,,,
600971,0,657533,2857132,1,,,,,,
610768,1,600971,4329388,1,0,0,35.0743,-45.8677,37.5294,-41.5884
600971,1,479674,4329388,1,0,0,37.5294,-41.5884,36.9583,-39.6605
567716,1,600971,27746181,1,2,0,-23.4195,90.2747,37.5294,-41.5884
639419,1,600971,24668936,1,1,0,-28.6155,-8.64662,37.5294,-41.5884
640109,1,600971,19722351,1,1,0,-27.8764,-16.2079,37.5294,-41.5884
505409,1,600971,29483534,1,2,0,-24.0163,87.667,37.5294,-41.5884
600971,0,486926,29483534,1,,,,,,
524473,1,600971,22167365,1,2,0,-23.7228,90.299,37.5294,-41.5884
640697,1,600971,26450203,1,3,0,-26.2454,-110.63,37.5294,-41.5884
600971,1,493145,26450203,1,0,3,37.5294,-41.5884,-25.0831,-110.206
513148,0,600971,22513009,1,,,,,,
600971,0,539903,22513009,1,,,,,,
614964,1,600971,24547521,1,3,0,-24.3847,-111.339,37.5294,-41.5884
475873,1,600971,23887836,1,0,0,31.0844,-35.4814,37.5294,-41.5884
