Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
457058,3,516389,25335385,346,,,,,,
506422,3,516389,20252446,15,,,,,,
535740,3,516389,6176935,840,,,,,,
621823,3,516389,23266820,30,,,,,,
643151,3,516389,11864168,494,,,,,,
620375,3,516389,13742325,893,,,,,,
512510,3,516389,19715214,961,,,,,,
467869,3,516389,1581741,2,,,,,,
576504,3,516389,22639500,431,,,,,,
657222,3,516389,28359367,907,,,,,,
482378,3,516389,29900754,455,,,,,,
561428,3,516389,8729723,269,,,,,,
531635,3,516389,24032911,42,,,,,,
620791,3,657187,1991785,633,,,,,,
552765,3,657187,6742286,546,,,,,,
623468,3,657187,22839875,82,,,,,,
509037,3,593195,812170,2358,,,,,,
586275,3,593195,4514441,971,,,,,,
546631,3,593195,18318465,671,,,,,,
614091,3,593195,24862946,1167,,,,,,
489270,3,593195,14695842,294,,,,,,
626212,3,593195,5012296,307,,,,,,
607488,3,593195,19360132,1018,,,,,,
560548,3,593195,7520632,317,,,,,,
600532,3,593195,12216731,403,,,,,,
613431,3,593195,9945315,199,,,,,,
496460,3,593195,14696645,2,,,,,,
578401,3,593195,21094222,595,,,,,,
565800,3,593195,7393039,2333,,,,,,
481847,3,593195,28180334,506,,,,,,
485339,3,593195,29900330,18,,,,,,
480025,3,593195,29814652,17,,,,,,
510199,3,593195,10568671,391,,,,,,
496700,3,593195,18679619,1037,,,,,,
591522,3,593195,29203976,1090,,,,,,
581273,3,593195,15686347,2059,,,,,,
520357,3,593195,10892451,1050,,,,,,
459040,3,593195,12974449,697,,,,,,
554414,3,593195,23039457,89,,,,,,
612385,3,593195,30777789,1985,,,,,,
495456,3,593195,12963282,647,,,,,,
559756,3,593195,1837105,15,,,,,,
567907,3,593195,20910605,504,,,,,,
486610,3,593195,30351616,849,,,,,,
613071,3,593195,12115190,180,,,,,,
483619,3,593195,20921572,387,,,,,,
518652,3,593195,3740049,853,,,,,,
462721,3,593195,26972005,668,,,,,,
534681,3,593195,3921030,4211,,,,,,
573416,3,593195,1994798,173,,,,,,
570443,3,593195,30247051,810,,,,,,
574136,2,516389,25335385,346,,,,,,
574136,2,516389,20252446,15,,,,,,
574136,2,516389,6176935,840,,,,,,
574136,2,516389,23266820,30,,,,,,
574136,2,516389,11864168,494,,,,,,
574136,2,516389,13742325,893,,,,,,
574136,2,516389,19715214,961,,,,,,
574136,2,516389,1581741,2,,,,,,
574136,2,516389,22639500,431,,,,,,
574136,2,516389,28359367,907,,,,,,
574136,2,516389,29900754,455,,,,,,
574136,2,516389,8729723,269,,,,,,
574136,2,516389,24032911,42,,,,,,
574136,2,657187,1991785,633,,,,,,
574136,2,657187,6742286,546,,,,,,
574136,2,657187,22839875,82,,,,,,
574136,2,593195,812170,2358,,,,,,
574136,2,593195,4514441,971,,,,,,
574136,2,593195,18318465,671,,,,,,
574136,2,593195,24862946,1167,,,,,,
574136,2,593195,14695842,294,,,,,,
574136,2,593195,5012296,307,,,,,,
574136,2,593195,19360132,1018,,,,,,
574136,2,593195,7520632,317,,,,,,
574136,2,593195,12216731,403,,,,,,
574136,2,593195,9945315,199,,,,,,
574136,2,593195,14696645,2,,,,,,
574136,2,593195,21094222,595,,,,,,
574136,2,593195,7393039,2333,,,,,,
574136,2,593195,28180334,506,,,,,,
574136,2,593195,29900330,18,,,,,,
574136,2,593195,29814652,17,,,,,,
574136,2,593195,10568671,391,,,,,,
574136,2,593195,18679619,1037,,,,,,
574136,2,593195,29203976,1090,,,,,,
574136,2,593195,15686347,2059,,,,,,
574136,2,593195,10892451,1050,,,,,,
574136,2,593195,12974449,697,,,,,,
574136,2,593195,23039457,89,,,,,,
574136,2,593195,30777789,1985,,,,,,
574136,2,593195,12963282,647,,,,,,
574136,2,593195,1837105,15,,,,,,
574136,2,593195,20910605,504,,,,,,
574136,2,593195,30351616,849,,,,,,
574136,2,593195,12115190,180,,,,,,
574136,2,593195,20921572,387,,,,,,
574136,2,593195,3740049,853,,,,,,
574136,2,593195,26972005,668,,,,,,
574136,2,593195,3921030,4211,,,,,,
574136,2,593195,1994798,173,,,,,,
574136,2,593195,30247051,810,,,,,,
